id,created_at,user_id,c8_2_1,c8_2_2,c8_2_3,c8_2_4,dev_level
1,2025-02-18T12:18:15.454+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,4
2,2025-02-18T12:26:34.144+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,False,2
3,2025-02-18T12:28:24.063+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,4
4,2025-02-18T12:39:20.861+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,False,False,1
5,2025-02-18T13:45:59.375+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,1
6,2025-02-18T14:38:59.987+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,False,False,1
7,2025-02-21T14:34:09.153+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,4
8,2025-02-21T17:58:42.678+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,4
9,2025-02-24T18:43:22.427+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,4
10,2025-02-24T18:48:52.214+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,False,False,1
11,2025-02-24T19:04:48.875+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,4
12,2025-02-25T20:25:09.397+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,4
13,2025-02-26T22:02:07.408+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,1
14,2025-03-11T18:53:40.09+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,False,False,True,True,3
15,2025-03-11T18:53:57.397+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,False,False,False,True,3
16,2025-03-11T18:54:17.702+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,True,False,False,True,3
17,2025-03-14T18:15:51.096364+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,2
18,2025-03-18T15:25:13.398263+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,False,3
19,2025-03-18T15:50:27.560346+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,2
20,2025-03-18T15:58:11.217938+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,4
21,2025-03-25T15:13:18.660571+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,1
22,2025-03-25T17:32:45.203305+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,2
23,2025-03-25T17:59:21.825139+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,4
24,2025-03-25T19:59:29.257491+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,2
25,2025-03-26T18:44:58.122741+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,1
