id,created_at,user_id,c11_1_1,c11_1_2,c11_1_3,c11_1_4,c11_1_5,dev_level
1,2025-02-18T12:23:23.347+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,False,3
2,2025-02-18T15:20:52.573+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,True,False,False,1
3,2025-02-18T15:38:03.356+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,False,3
4,2025-02-19T17:31:18.526+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,False,2
5,2025-02-21T13:42:24.975+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,True,False,False,1
6,2025-02-21T13:47:05.7+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,True,4
7,2025-02-21T18:10:35.433+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,False,2
8,2025-02-24T18:43:02.39+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,True,2
9,2025-02-24T18:48:43.63+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,False,1
10,2025-03-11T18:53:50.978+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,False,True,False,False,True,3
11,2025-03-11T18:54:00.376+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,True,False,True,False,False,3
12,2025-03-11T18:54:25.819+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,False,False,False,False,True,3
13,2025-03-11T18:54:37.409+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,False,True,False,False,True,3
14,2025-03-14T18:50:26.726224+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,False,False,False,1
15,2025-03-18T15:22:59.029341+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,True,3
16,2025-03-18T15:23:32.547425+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,True,4
17,2025-03-25T13:41:01.768907+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,False,3
18,2025-03-25T14:12:51.350881+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,False,True,4
19,2025-03-25T14:21:28.725063+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,True,2
20,2025-03-25T19:57:22.52375+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,False,1
