id,created_at,user_id,c3_1_1,c3_1_2,c3_1_3,c3_1_4,c3_1_5,dev_level
1,2025-02-18T14:51:56.761+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,True,4
2,2025-02-19T17:00:13.07+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,False,3
3,2025-02-19T17:25:35.469+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,True,4
4,2025-02-21T14:11:42.207+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,False,2
5,2025-02-21T17:59:12.86+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,True,False,False,1
6,2025-02-24T18:35:34.68+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,False,3
7,2025-02-26T23:30:22.704+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,False,3
8,2025-03-11T18:54:10.512+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,True,True,False,False,False,3
9,2025-03-11T18:54:20.119+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,False,False,True,False,False,3
10,2025-03-11T18:54:24.603+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,False,False,False,True,True,3
11,2025-03-18T15:54:59.436723+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,False,3
12,2025-03-25T13:19:14.539168+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,False,2
13,2025-03-25T14:17:42.388174+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,False,True,4
14,2025-03-25T14:44:45.713132+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,True,False,3
15,2025-03-25T14:46:23.766395+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,True,False,3
16,2025-03-25T14:46:50.351879+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,False,2
17,2025-03-25T20:09:24.039312+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,False,False,2
18,2025-03-26T17:27:59.584319+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,False,2
19,2025-03-26T18:44:49.973447+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,False,3
20,2025-03-26T18:53:38.220667+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,True,4
