id,created_at,user_id,c3_3_1,c3_3_2,c3_3_3,c3_3_4,c3_3_5,c3_3_6,c3_3_7,dev_level
1,2025-02-18T13:40:35.539+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,True,True,False,False,1
2,2025-02-18T15:51:31.118+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,False,False,True,2
3,2025-02-21T14:28:43.522+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,False,False,False,1
4,2025-02-21T17:42:16.822+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,True,True,False,False,False,1
5,2025-02-26T21:48:08.46+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,True,False,False,False,False,1
6,2025-03-11T18:53:47.612+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,False,True,False,False,False,False,False,3
7,2025-03-11T18:53:52.25+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,True,False,False,False,False,True,True,3
8,2025-03-11T18:54:17.045+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,False,False,False,False,True,True,False,3
9,2025-03-25T13:58:44.532144+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,True,False,False,1
10,2025-03-25T14:06:40.424796+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,False,False,False,True,4
11,2025-03-25T15:09:35.120453+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,True,False,False,False,1
12,2025-03-25T17:36:02.303178+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,True,False,False,1
13,2025-03-26T18:24:41.454824+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,False,False,False,2
