id,created_at,user_id,c13_3_1,c13_3_2,c13_3_3,c13_3_4,dev_level
1,2025-02-18T14:08:22.552+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,True,2
2,2025-02-18T14:23:30.971+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,False,2
3,2025-02-19T16:40:09.664+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,4
4,2025-02-19T16:40:12.297+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,4
5,2025-02-21T13:55:08.241+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,False,False,1
6,2025-02-21T13:55:21.583+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,1
7,2025-02-21T14:16:14.424+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,2
8,2025-02-21T17:53:17.458+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,1
9,2025-02-21T17:54:40.73+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,True,2
10,2025-02-21T18:06:19.871+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,True,1
