id,created_at,user_id,c9_1_1,c9_1_2,c9_1_3,c9_1_4,c9_1_5,c9_1_6,dev_level
1,2025-02-19T17:09:18.038+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,False,True,3
2,2025-02-19T22:33:22.535+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,False,True,False,2
3,2025-02-19T22:33:29.926+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,False,False,2
4,2025-02-21T13:46:31.668+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,True,False,3
5,2025-02-21T18:15:23.41+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,False,False,2
6,2025-02-21T18:16:44.415+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,True,True,4
7,2025-03-11T18:54:31.751+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,False,False,False,False,False,True,3
8,2025-03-14T18:15:11.243977+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,True,False,3
9,2025-03-25T15:24:08.184621+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,True,True,4
10,2025-03-26T17:26:39.387971+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,False,False,False,False,1
11,2025-03-26T17:28:17.047048+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,False,False,3
12,2025-03-26T18:26:37.416901+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,False,True,3
