id,created_at,user_id,c10_1_1,c10_1_2,c10_1_3,c10_1_4,c10_1_5,dev_level
1,2025-02-18T12:30:20.65+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,True,4
2,2025-02-18T13:44:46.789+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,False,False,False,1
3,2025-02-18T13:45:46.843+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,False,4
4,2025-02-18T14:31:43.822+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,True,False,2
5,2025-02-18T15:21:42.681+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,True,4
6,2025-02-18T15:33:55.245+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,False,False,False,1
7,2025-02-19T22:33:35.259+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,False,1
8,2025-02-21T18:04:46.548+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,False,4
9,2025-02-24T18:23:04.047+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,False,2
10,2025-03-11T18:54:40.304+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,False,False,False,True,False,3
11,2025-03-25T14:30:02.886541+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,False,1
12,2025-03-25T14:32:43.08171+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,True,False,3
13,2025-03-25T15:33:09.010818+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,False,4
14,2025-03-25T15:35:01.94851+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,False,False,2
15,2025-03-26T16:27:54.231065+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,False,False,2
16,2025-03-26T18:58:56.405737+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,False,False,False,1
