id,created_at,user_id,c12_1_1,c12_1_2,c12_1_3,c12_1_4,c12_1_5,c12_2_6,c12_2_7,dev_level
1,2025-02-18T12:19:39.177+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,True,False,,,2
2,2025-02-18T14:04:47.069+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,False,,,2
3,2025-02-18T14:15:24.733+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,True,False,,,2
4,2025-02-18T14:16:28.959+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,True,4
5,2025-02-18T14:24:49.44+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,False,False,False,,,1
6,2025-02-18T14:54:23.833+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,True,False,1
7,2025-02-18T15:08:53.173+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,False,False,,,2
8,2025-02-18T15:22:57.248+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,True,4
9,2025-02-19T16:41:36.291+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,True,False,1
10,2025-02-19T22:25:53.581+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,True,4
11,2025-02-21T13:58:34.735+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,True,4
12,2025-02-21T17:44:54.744+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,False,True,False,,,2
13,2025-02-21T18:02:39.568+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,True,False,,,2
14,2025-02-21T18:08:15.408+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,True,,,3
15,2025-02-21T18:15:06.838+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,True,False,,,2
16,2025-02-21T18:16:48.419+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,True,4
17,2025-02-21T18:18:24.591+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,True,,,3
18,2025-02-24T18:52:02.712+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,True,True,False,3
19,2025-02-24T19:10:54.548+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,False,True,False,1
