id,created_at,user_id,c3_2_1,c3_2_2,c3_2_3,c3_2_4,c3_2_5,c3_2_6,dev_level
1,2025-02-19T17:32:01.726+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,False,True,False,4
2,2025-02-21T13:37:57.121+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,False,False,1
3,2025-02-21T13:48:55.805+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,False,False,2
4,2025-02-21T14:02:46.696+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,False,False,2
5,2025-02-21T14:15:54.691+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,True,True,3
6,2025-02-21T18:13:29.494+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,False,False,True,4
7,2025-02-26T21:51:49.437+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,True,False,False,1
8,2025-02-26T23:30:12.455+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,True,False,False,False,1
9,2025-03-11T18:53:44.351+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,False,True,False,True,True,False,3
10,2025-03-11T18:53:50.262+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,False,True,True,False,False,True,3
11,2025-03-11T18:53:55.526+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,False,False,True,True,False,True,3
12,2025-03-14T18:26:19.683203+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,True,False,2
13,2025-03-25T13:31:54.757813+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,False,False,3
14,2025-03-25T17:51:41.351314+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,False,False,False,2
15,2025-03-25T20:07:48.690088+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,True,False,False,2
16,2025-03-25T20:10:12.942017+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,True,False,False,1
17,2025-03-26T17:19:02.116473+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,False,True,3
