id,created_at,user_id,c10_2_1,c10_2_2,c10_2_3,c10_2_4,c10_2_5,c10_2_6,c10_2_7,c10_2_8,dev_level
1,2025-02-18T12:24:10.53+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,False,True,3
2,2025-02-18T14:11:01.02+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,False,True,3
3,2025-02-18T14:14:04.835+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,False,True,3
4,2025-02-18T15:15:51.239+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,True,False,False,1
5,2025-02-18T15:16:06.922+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,True,True,2
6,2025-02-18T15:53:34.881+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,False,,,,4
7,2025-02-19T17:18:23.449+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,True,True,False,1
8,2025-02-19T22:24:23.524+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,True,False,False,1
9,2025-02-21T14:46:20.351+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,True,False,2
10,2025-02-21T15:29:29.019+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,True,False,,,,2
11,2025-02-21T17:43:56.821+00:00,4af06985-db73-4918-901f-61e0377a0c37,,,,,,False,True,True,3
12,2025-03-11T18:54:12.874+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,False,True,False,True,False,False,True,False,3
13,2025-03-14T18:10:57.539465+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,False,False,False,True,False,False,1
14,2025-03-14T18:19:31.338324+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,False,True,True,False,False,2
15,2025-03-14T18:34:28.490809+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,False,True,False,False,3
16,2025-03-14T18:53:09.354636+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,False,False,True,False,3
17,2025-03-18T15:48:36.063259+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,False,False,True,False,3
18,2025-03-25T14:17:15.63086+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,True,True,False,False,2
19,2025-03-25T15:08:44.484203+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,False,False,False,True,3
20,2025-03-25T15:20:28.774689+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,False,False,True,False,1
21,2025-03-25T18:00:43.193361+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,False,False,True,False,False,2
22,2025-03-25T20:05:39.765063+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,False,False,False,True,3
23,2025-03-26T16:19:53.297074+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,False,True,False,False,1
24,2025-03-26T16:28:58.095393+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,True,False,True,False,3
25,2025-03-26T16:32:11.178604+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,True,False,False,False,True,3
26,2025-03-26T18:19:30.497056+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,True,False,False,True,4
