id,created_at,user_id,c8_4_1,c8_4_2,c8_4_3,c8_4_4,c8_4_5,dev_level
1,2025-02-18T12:14:26.48+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,True,False,1
2,2025-02-18T12:21:01.258+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,True,True,False,2
3,2025-02-18T14:06:53.126+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,True,4
4,2025-02-18T14:34:20.772+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,True,True,False,2
5,2025-02-19T16:58:30.254+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,True,False,False,1
6,2025-02-21T14:54:16.114+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,True,False,1
7,2025-02-24T19:08:28.689+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,False,4
8,2025-02-26T21:47:16.404+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,False,True,4
9,2025-02-26T21:49:55.99+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,True,4
10,2025-03-11T18:54:23.982+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,False,False,True,True,False,3
11,2025-03-14T18:12:48.423959+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,True,False,False,1
12,2025-03-14T18:13:35.488024+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,True,4
13,2025-03-18T15:24:49.678299+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,True,3
14,2025-03-18T16:30:16.093511+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,False,3
15,2025-03-25T13:15:20.724719+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,True,False,False,2
16,2025-03-25T13:31:32.463742+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,True,4
17,2025-03-25T14:00:41.645412+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,False,1
18,2025-03-25T15:39:11.967757+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,False,True,4
19,2025-03-25T20:11:21.258461+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,False,False,False,1
20,2025-03-26T18:44:54.657555+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,True,True,4
