id,created_at,user_id,c10_3_1,c10_3_2,c10_3_3,c10_3_4,c10_3_5,c10_3_6,dev_level
1,2025-02-18T13:23:30.195+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,True,False,False,2
2,2025-02-18T14:40:42.881+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,True,True,True,3
3,2025-02-19T16:41:20.485+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,True,False,False,False,False,1
4,2025-02-24T18:52:35.327+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,False,True,False,3
5,2025-03-14T18:30:11.770184+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,True,False,False,False,2
6,2025-03-18T15:36:11.310473+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,True,False,True,2
7,2025-03-25T12:51:02.368433+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,True,False,False,2
8,2025-03-25T13:59:40.640834+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,True,False,True,3
9,2025-03-25T14:00:55.360821+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,False,True,True,4
10,2025-03-25T15:25:27.565826+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,True,False,False,False,3
11,2025-03-25T15:31:51.92563+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,False,True,True,3
12,2025-03-25T17:39:07.709068+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,False,True,False,True,3
13,2025-03-26T18:48:32.516257+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,False,False,False,True,False,4
