id,created_at,user_id,c8_5_1,c8_5_2,dev_level
1,2025-02-18T13:20:58.42+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
2,2025-02-19T17:09:22.65+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
3,2025-02-19T17:22:21.099+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
4,2025-02-21T18:16:33.638+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
5,2025-02-24T18:34:53.302+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
6,2025-02-24T18:41:01.238+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
7,2025-02-24T19:12:29.713+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
8,2025-02-26T21:59:00.021+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
9,2025-03-11T18:54:33.318+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,True,False,3
10,2025-03-11T18:54:34.756+00:00,7d765edd-8fa3-4a00-afd1-8c15c31bd79b,False,True,3
11,2025-03-14T18:21:44.656976+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
12,2025-03-14T18:30:46.678102+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
13,2025-03-19T11:49:10.533631+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
14,2025-03-25T13:04:40.6061+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
15,2025-03-25T13:46:33.060481+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
16,2025-03-25T13:51:43.566706+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
17,2025-03-25T14:47:21.768415+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
18,2025-03-25T14:48:25.696273+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
19,2025-03-25T15:22:27.209147+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
20,2025-03-25T15:34:26.380221+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
21,2025-03-25T17:49:20.676499+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
22,2025-03-25T17:58:02.424583+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
23,2025-03-26T16:49:54.738793+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
24,2025-03-26T16:50:06.889893+00:00,4af06985-db73-4918-901f-61e0377a0c37,False,True,4
25,2025-03-26T17:27:25.521491+00:00,4af06985-db73-4918-901f-61e0377a0c37,True,False,1
